date,tic,close
2018-10-10,Durbl,-2.64
2018-10-11,Durbl,-1.23
2018-10-12,Durbl,-0.13
2018-10-15,Durbl,0.59
2018-10-16,Durbl,2.21
2018-10-17,Durbl,-1.33
2018-10-18,Durbl,-2.48
2018-10-19,Durbl,-0.52
2018-10-22,Durbl,0.2
2018-10-23,Durbl,1.87
2018-10-24,Durbl,-4
2018-10-25,Durbl,4.39
2018-10-26,Durbl,0.59
2018-10-29,Durbl,0.74
2018-10-30,Durbl,1.33
2018-10-31,Durbl,2.36
2018-11-01,Durbl,2.22
2018-11-02,Durbl,0.18
2018-11-05,Durbl,-0.04
2018-11-06,Durbl,0.59
2018-11-07,Durbl,1.29
2018-11-08,Durbl,-0.55
2018-11-09,Durbl,-1.62
2018-11-12,Durbl,-1.48
2018-11-13,Durbl,1.03
2018-11-14,Durbl,0.23
2018-11-15,Durbl,0.82
2018-11-16,Durbl,0.46
2018-11-19,Durbl,-0.47
2018-11-20,Durbl,-1.71
2018-11-21,Durbl,0.61
2018-11-23,Durbl,-0.41
2018-11-26,Durbl,3.24
2018-11-27,Durbl,-1.44
2018-11-28,Durbl,1.76
2018-11-29,Durbl,-0.77
2018-11-30,Durbl,1.35
2018-12-03,Durbl,1.6
2018-12-04,Durbl,-3.78
2018-12-06,Durbl,-0.74
2018-12-07,Durbl,-2.59
2018-12-10,Durbl,-0.72
2018-12-11,Durbl,0.22
2018-12-12,Durbl,1.03
2018-12-13,Durbl,-0.53
2018-12-14,Durbl,-1.45
2018-12-17,Durbl,-2.02
2018-12-18,Durbl,-0.23
2018-12-19,Durbl,-1.57
2018-12-20,Durbl,-1.67
2018-12-21,Durbl,-1.89
2018-12-24,Durbl,-3.56
2018-12-26,Durbl,5.2
2018-12-27,Durbl,0.03
2018-12-28,Durbl,0.8
2018-12-31,Durbl,-0.04
2019-01-02,Durbl,-0.55
2019-01-03,Durbl,-2.78
2019-01-04,Durbl,4.34
2019-01-07,Durbl,2.76
2019-01-08,Durbl,1.57
2019-01-09,Durbl,1.43
2019-01-10,Durbl,0.66
2019-01-11,Durbl,1.38
2019-01-14,Durbl,-0.19
2019-01-15,Durbl,0.49
2019-01-16,Durbl,-0.36
2019-01-17,Durbl,1.16
2019-01-18,Durbl,-0.76
2019-01-22,Durbl,-1.7
2019-01-23,Durbl,-1.7
2019-01-24,Durbl,1.45
2019-01-25,Durbl,1.71
2019-01-28,Durbl,-0.76
2019-01-29,Durbl,0.94
2019-01-30,Durbl,1.33
2019-01-31,Durbl,0.3
2019-02-01,Durbl,0.08
2019-02-04,Durbl,0.4
2019-02-05,Durbl,0.98
2019-02-06,Durbl,-0.05
2019-02-07,Durbl,-2.23
2019-02-08,Durbl,-0.28
2019-02-11,Durbl,0.6
2019-02-12,Durbl,1.6
2019-02-13,Durbl,0.07
2019-02-14,Durbl,-0.2
2019-02-15,Durbl,0.85
2019-02-19,Durbl,0.68
2019-02-20,Durbl,0.71
2019-02-21,Durbl,-1.21
2019-02-22,Durbl,1.21
2019-02-25,Durbl,0.35
2019-02-26,Durbl,-0.22
2019-02-27,Durbl,0.66
2019-02-28,Durbl,-0.27
2019-03-01,Durbl,-0.74
2019-03-04,Durbl,-0.77
2019-03-05,Durbl,-0.59
2019-03-06,Durbl,-1.31
2019-03-07,Durbl,-0.82
2019-03-08,Durbl,0.1
2019-03-11,Durbl,1.46
2019-03-12,Durbl,-0.56
2019-03-13,Durbl,0.12
2019-03-14,Durbl,-0.88
2019-03-15,Durbl,-0.76
2019-03-18,Durbl,0.34
2019-03-19,Durbl,-0.09
2019-03-20,Durbl,-1.22
2019-03-21,Durbl,1.13
2019-03-22,Durbl,-3.11
2019-03-25,Durbl,0.26
2019-03-26,Durbl,1.09
2019-03-27,Durbl,0.24
2019-03-28,Durbl,0.83
2019-03-29,Durbl,0.28
2019-04-01,Durbl,2.32
2019-04-02,Durbl,-0.21
2019-04-03,Durbl,1.24
2019-04-04,Durbl,-0.38
2019-04-05,Durbl,0.71
2019-04-08,Durbl,0.24
2019-04-09,Durbl,-1.08
2019-04-10,Durbl,1.19
2019-04-11,Durbl,0.17
2019-04-12,Durbl,0.82
2019-04-15,Durbl,-0.59
2019-04-16,Durbl,0.83
2019-04-17,Durbl,0.12
2019-04-18,Durbl,0.51
2019-04-22,Durbl,-1.55
2019-04-23,Durbl,0.67
2019-04-24,Durbl,-0.46
2019-04-25,Durbl,-2.65
2019-04-26,Durbl,1.83
